train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,269.42878021240233,72.86294305801393,904.565862121582
10.0,86.94048301696778,26.53196985244751,210.98980329513546
15.0,45.403427302042644,23.236714275677997,129.1982184727987
20.0,28.955146315097807,18.261987746953963,51.25812638044356
25.0,21.928558504581453,13.308170622587205,35.2998555143674
30.0,18.43415405114492,11.29881003856659,29.222089767456044
35.0,14.363366593633378,8.446826890536718,26.387158332552218
40.0,11.21868044435978,8.340861250460147,16.740047538280482
45.0,11.148878569073148,7.640782720512814,16.023631616433462
50.0,9.721635277271272,7.06969360947609,13.290536105632778
55.0,8.793923020362854,5.972752341357144,12.248184538971293
60.0,8.542851295073827,6.7122842341661455,11.93479926387469
65.0,7.143016280577733,5.754660356044769,11.16470558918439
70.0,6.85885134594781,5.059759673476219,10.917676040104453
75.0,6.7545657912890125,5.5017959380149835,9.15058152914047
80.0,6.509841667115689,4.644632876291871,9.447881580889224
85.0,6.444541262879092,4.296351869316662,10.12000433066312
90.0,6.1957807448175215,4.812117707067066,9.433672974175872
95.0,6.226724272652676,4.075757258816769,10.569449986282146
100.0,5.984573179483414,4.327308629453182,7.944635073840617
