train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,114.09021427154542,75.19056529998778,147.98037803649902
10.0,90.09535921096801,62.9069962310791,141.30873441696164
15.0,84.5510212135315,54.426116174062095,143.26245803833007
20.0,66.3523960494995,49.85181082010269,96.62854739665983
25.0,58.16846741835276,43.52808235088985,77.65892996788023
30.0,49.49885729471843,37.29293235460918,67.31871624628701
35.0,40.07804098129272,29.877134486607144,54.515275491986955
40.0,40.19604882001877,27.642676424980166,52.626042068004594
45.0,37.36896388795641,31.039307864507037,46.9878899998135
50.0,34.058496952056885,26.491539759635927,43.67488880634307
55.0,31.64005118283358,25.155478486147793,45.868173473531535
60.0,30.38217239379883,25.368405862649283,33.819707536697386
65.0,28.066219381185682,24.81028594970703,33.417750817078804
70.0,28.02106041908264,23.78653110095433,35.56736306803567
75.0,26.21973852157593,22.70836079279582,31.240784400304157
80.0,26.653690761327745,22.619550076127055,32.008458444476126
85.0,25.758657045925368,21.6775406108183,31.70810588948866
90.0,24.835934162139893,22.07989976671007,27.804997952779132
95.0,24.43451186732242,21.646350519280684,28.1579698487332
100.0,24.540108461380004,21.21202145576477,29.274782867431632
