train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,112.66409194946289,87.07563177108764,138.17889678955078
10.0,105.71944299697876,70.30668196678161,123.36309690475464
15.0,109.44081396738689,71.16045596440634,131.73711045583087
20.0,106.5204043674469,71.23404191493988,134.5970193862915
25.0,74.47842562993368,48.759578140576686,109.34840789635976
30.0,65.03777074813843,44.56989204724629,104.37047077178953
35.0,50.3428071294512,39.070991788591655,83.23246857779361
40.0,42.81610996723175,31.792401254177094,52.36265205144882
45.0,40.882886558108865,31.46244485113356,62.73135459687973
50.0,41.06732278823853,31.936811218261717,59.38387500762936
55.0,33.94242297952825,27.74732599258423,43.110905369845305
60.0,37.70774133205414,28.482397425174714,56.8092041412989
65.0,34.015388466761664,27.083956083884605,45.40498180389404
70.0,33.115506001881194,26.56226445947374,49.61183876991271
75.0,31.183965028127034,28.145254872639978,35.7836115582784
80.0,29.755937880277635,25.115128898620604,34.24759575426579
85.0,31.578267630408796,24.09956069273107,46.76700140167684
90.0,29.01063937081231,25.43877611425188,32.35634943114387
95.0,29.487775270562423,25.9156898347955,34.284659887615
100.0,27.930137085914613,23.170228571891784,34.822957329750054
