train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,36.07075377811782,24.589726587847103,61.107783068075605
10.0,26.608976944240663,19.19852236371536,35.96669779114835
15.0,22.59471424912078,17.051160880761753,31.635954682315823
20.0,20.492532431962573,17.5373804881014,24.146276206758674
25.0,19.669527640793277,17.08173750749076,23.271000858134084
30.0,18.490458103098053,16.198457433734827,22.560893647562732
35.0,18.179273923994824,15.725363819722755,22.773244425299854
40.0,17.940323120806024,15.113917831412781,22.37115068307779
45.0,17.573597844926756,15.542794336160362,19.0445239718819
50.0,17.22818899922637,15.701993579378085,19.029248276667786
55.0,17.350587619323576,15.559777259030605,19.33503725902566
60.0,17.242317753996385,15.656038931529144,19.839674846280822
65.0,17.30726879462642,15.668378965539748,20.021755592785354
70.0,17.176493723274355,15.442000343505594,19.977316577188443
75.0,17.222262093648087,15.647031931206156,19.952291875546607
80.0,17.1129255620766,15.816054702398283,19.402204390707112
85.0,17.02844523925016,15.585800424691106,19.196496493798975
90.0,16.758428563042376,15.60626944290192,18.80185923018376
95.0,16.689061662600736,15.356694189722806,18.162546809905525
100.0,16.544136336470928,15.13974060581755,18.35745382318758
