train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,89.76190773494021,60.74576615856211,135.62006580216
10.0,52.384642352722594,31.307844187466507,66.57069261930678
15.0,19.120596710506696,14.292238804615447,33.84881843221571
20.0,14.785907366604423,12.217950550376885,20.917378295924582
25.0,13.314931182651929,11.898685312581845,15.110457123252054
30.0,12.54979840062914,11.359656883776182,14.498884071175196
35.0,12.612468447603787,11.555290168742289,14.122831001772958
40.0,12.269846999386512,11.198139562697706,13.78610266329055
45.0,11.926410294396717,11.227209086456517,13.04364754285209
50.0,11.640534410537011,10.959396516694104,12.487207820241066
55.0,11.447494626682357,10.885461589022507,12.544655549347807
60.0,11.352627630572709,10.819129833278767,12.22945649787214
65.0,11.27379192779832,10.76840076265437,12.509150848389705
70.0,11.224930986598812,10.747755295163612,12.389956228108687
75.0,11.154859488890292,10.617199879495244,12.115572622411962
80.0,11.155171051210939,10.748045894839553,12.08125020036552
85.0,11.128961265181829,10.764780606814908,12.112782516735864
90.0,11.029737183430345,10.604302161009814,12.019208489467022
95.0,10.98177000123833,10.519638008348679,11.912130424012757
100.0,10.984518928247827,10.634368396128064,11.73349105548342
