train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,47.99223967763204,31.44701197835329,77.9329434500648
10.0,34.32684768502151,20.164939843927915,64.76072687360082
15.0,28.751411018606387,18.07501536923137,67.40894529379544
20.0,21.89409280091143,19.020295184659997,27.268907656055077
25.0,21.402794658310356,17.676185290209897,27.02726327000237
30.0,21.032483059087735,18.0721779541556,27.785597683660807
35.0,20.406190530066663,16.88285047203521,28.94635327675959
40.0,19.67139134988446,16.749742812850005,23.891273514145578
45.0,19.261142128186314,16.98615272920277,22.32307550736846
50.0,19.13804879911787,17.499707994794978,21.712952604405146
55.0,19.111523153414886,17.37004426135249,20.476981070810055
60.0,18.97772074164863,16.724821564461013,21.091738770449748
65.0,19.059454841077404,16.80076766458781,21.408522618196805
70.0,18.990465611930055,17.259255931674733,21.046494753794455
75.0,18.876673724311708,17.127982972564553,21.337148415762936
80.0,18.721629322039952,16.575643516215194,20.607771389386556
85.0,18.646786835946767,16.698999148786864,20.444759385642875
90.0,18.509168464605455,16.53469140793144,19.646399786322352
95.0,18.550345379401925,16.383655866357756,19.992111127508394
100.0,18.24565524559722,16.223110274733983,19.85727769257295
