train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,88.31254986684444,36.21719912402561,283.30025868360246
10.0,45.44252303153239,26.430291652212833,93.81622997659777
15.0,35.34213135418743,22.299021075552428,86.31934471713829
20.0,29.488210113891956,21.38718261444887,37.47065041907288
25.0,25.57795704567559,19.069850703715943,36.34432046920216
30.0,26.387400566415987,18.410670668786548,34.74705798619615
35.0,23.020692167477485,16.823379883600616,27.727959573313647
40.0,21.73032036379187,17.977432346603155,25.450187525620294
45.0,21.30962627943688,18.17050893582799,23.714965671839032
50.0,21.724247158520093,19.54182722345631,25.38099440981709
55.0,22.269784840116497,18.353382785965017,28.925946916163934
60.0,22.293240281262307,17.735056296050498,27.913765932234195
65.0,21.42342886382209,18.724795552645347,25.105984874512746
70.0,22.01243474387,19.026824360868446,26.543975788320584
75.0,22.12066568026826,18.916256723318554,27.66002191672539
80.0,21.489548153913304,18.456801037219396,24.79831158328161
85.0,21.32923222238103,17.42519678569049,24.644006896500482
90.0,22.045878425760677,19.319588167391686,25.09932081070926
95.0,21.020115904685206,18.3150920678509,23.122416491544808
100.0,21.205474831179856,18.274180616741805,23.927351272147533
