train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,122.39863444927246,84.29442245044261,298.88928867859295
10.0,85.20865834801296,45.26416660127591,130.03108933910093
15.0,49.203180320442165,24.033256596686137,100.1846956371408
20.0,37.574088399836185,18.345412099153485,64.3689023713449
25.0,33.49405952043152,16.787289151205936,59.225227000767774
30.0,28.355984676399448,15.057387401879367,47.840269862194425
35.0,22.920070479675942,12.827213300494929,43.6300205742627
40.0,19.49165296553342,12.218865829375007,34.543704915359825
45.0,18.52448846964088,12.504993424148857,27.32607286535659
50.0,20.1814800516579,12.689864062315678,29.824695310891617
55.0,19.60471431751937,12.319635157311444,32.699976023675895
60.0,20.077176061179514,12.432858474914784,34.23704919100834
65.0,19.43101290012699,12.854970133711515,29.635862233539804
70.0,18.816867434198688,12.024836021754309,27.963056917111565
75.0,19.394730253811698,13.635616839946351,30.839376194565652
80.0,21.11917351192928,14.731572852369519,30.0400154003093
85.0,19.680395351071148,13.94590289439189,26.795350444645287
90.0,18.782352092919215,12.613251527347755,29.79100136014671
95.0,20.086929633489824,12.90519977108601,33.85215541596249
100.0,17.970736674469855,13.015774092730187,24.25833119183062
