train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,79.39454809767095,47.63105292754368,123.99760591084325
10.0,41.29417873949696,23.409769477634285,81.04042231369921
15.0,28.895659705289336,19.209339059157262,73.04053749331459
20.0,22.0533378455576,18.98961210880438,27.95749339187002
25.0,21.04996659136406,18.280699559480908,25.904318429394014
30.0,20.346593771817744,17.441855906036235,25.923003887782734
35.0,19.56144238468831,17.154457583616683,23.44873261745836
40.0,18.807383837460485,16.112652714478703,22.515693948864268
45.0,18.423046048440128,16.866006484294722,21.060460388308336
50.0,18.31970605917479,16.28139867532677,21.311887500767384
55.0,18.02083903658157,16.355271996339262,19.995700114153223
60.0,17.864576253480926,15.985710454344472,20.632724214726387
65.0,17.649596015037655,16.052543044433243,20.22402962599611
70.0,17.57366326837171,15.647257147467219,20.266220128708422
75.0,17.457394740407565,15.541251994270667,20.083412773322024
80.0,17.213884139620948,15.138700411827946,19.562963989621572
85.0,17.118958735187267,15.042575347837614,19.56052858375042
90.0,16.965230060493806,15.314900950191754,19.28050419575064
95.0,16.91431648025657,15.380100842563348,18.94041363663764
100.0,16.76897824763651,15.601033216741499,18.848265464339672
