train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,131.29825740801795,93.35566843919541,234.2690351054464
10.0,71.5865056877554,40.17955561340574,102.9652708806336
15.0,23.01517745124762,14.211327629910619,44.10221721572155
20.0,14.65736752632733,11.68442117433076,21.84403008680634
25.0,13.23209404876305,11.297735766659848,15.136544181214688
30.0,12.185304325071824,10.884679951893347,13.648880749005425
35.0,12.108571268756927,11.05598660561272,13.58718520480551
40.0,11.887999979856042,10.828010739313822,13.70912169705946
45.0,11.568706570174703,10.684073998835759,13.149437703024864
50.0,11.462184336263231,10.72200852498298,13.039543609718102
55.0,11.291251415074147,10.687680166649082,12.828297879317999
60.0,11.15186991896227,10.64626762961543,12.359013707846785
65.0,11.113706899692273,10.663876762354839,12.64444494434703
70.0,11.02629805862523,10.534756950706512,12.167214214513187
75.0,11.038015490772414,10.562627673288471,12.212832072043117
80.0,11.015321617986695,10.610688325956358,11.990228425435486
85.0,11.006235703694673,10.576669630850189,12.010934782978103
90.0,10.943251223135292,10.542877761462794,11.957413545954138
95.0,10.922457602054251,10.50897844435244,11.971796147518772
100.0,10.887340709419572,10.513763561420886,11.63330339057738
