train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,105.33323027520363,58.45331025875612,215.86357699057635
10.0,65.85844113690698,31.039562619430072,129.51517478807145
15.0,42.63713445670253,27.131000132598658,96.61684742809885
20.0,31.851310552955166,27.126141862766435,43.00335594490303
25.0,30.297403375072502,25.293977915685804,37.77325143823432
30.0,29.094143560744897,23.779480728038173,36.8339776208084
35.0,27.54696933805514,23.670626517534483,35.84559278630719
40.0,26.287103187523805,23.151967824557154,29.134120286720588
45.0,25.794210484608293,22.944316467861494,28.964447075386076
50.0,24.906255464293732,22.383262689232055,27.998507065241583
55.0,24.86689526151902,23.053166012931346,27.30199314502511
60.0,24.49356914850438,22.376996678150135,26.952423797751102
65.0,24.26607652364281,21.45986329238504,26.90861834868453
70.0,24.030927835326654,21.663280140975377,26.04732067410186
75.0,23.93698597208929,20.909741140037557,26.297970050589715
80.0,23.693853478599006,21.505834292955633,26.21216661745639
85.0,23.66848943469989,21.308893409405428,25.995820283636384
90.0,23.53246207333588,21.386473075418422,25.776171103092512
95.0,23.134918261649624,21.355886113855217,24.920824902650658
100.0,23.08384363998863,21.453591885053797,25.008599480282797
