train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,103.63428958892823,83.46122966766357,143.59606163024904
10.0,88.5732403755188,75.31546181678772,103.86056943893433
15.0,80.2850635655721,63.23547974268595,98.63016132990519
20.0,72.14376903533936,55.6892846250534,95.34208955287933
25.0,61.778523564338684,47.7657718817393,78.69791924158733
30.0,60.797103080749515,41.5813502629598,82.13188475290933
35.0,51.09896936416626,34.20753675188337,72.38193744931901
40.0,44.189128732681276,33.373163926601414,53.20047999620438
45.0,41.787561914655896,31.07025882403056,56.23437320391336
50.0,39.8174911403656,28.881343679428102,52.53383846282959
55.0,35.62111530303955,28.414400555870756,43.73170046806335
60.0,33.30112744967143,28.266712228457134,37.59635116259257
65.0,32.777941381014315,27.161118133251485,39.89973449707031
70.0,30.851757860183717,26.843785316603526,38.03743661471775
75.0,30.328747107187905,25.512013568878174,34.21494091669718
80.0,30.196539407968523,25.74079641401768,35.593423089385034
85.0,29.477945114584532,25.037158085318172,34.5670989148757
90.0,27.85529006322225,23.123137635654874,33.76387552420298
95.0,27.537713055861623,23.5901237487793,33.10762163965325
100.0,27.074769644737245,22.073221719264986,34.92564382076263
