train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,152.0287591934204,85.19332664489745,471.9287002182001
10.0,91.88806468009949,56.91512452602387,257.8293390083312
15.0,62.12011503219604,48.86896093050639,96.47134002685546
20.0,50.69195365428924,39.175470492839814,70.67113880634307
25.0,29.666124240557355,19.538735081752144,43.315423383315405
30.0,26.073391507466635,16.573710975646975,39.685294493039436
35.0,19.07448254312788,12.521075003487724,33.840242941038944
40.0,14.519845616817474,10.82698429375887,18.71352027952671
45.0,14.32805023458269,10.018818350632987,23.682693370183305
50.0,13.136578018665313,8.88563508629799,18.49000962615013
55.0,10.774110952290622,8.054313355142419,14.516024694659489
60.0,10.700482420126598,7.507780469457309,16.89502142071723
65.0,10.197871780395507,7.089514972613408,17.116542220115655
70.0,8.923603756087166,6.496537014416286,13.527185721908296
75.0,8.011133463382722,5.671720725695292,10.805542287826537
80.0,7.762659750878811,4.8701197251677515,10.441349316388365
85.0,7.586463338487289,5.596547668120441,9.515437873672036
90.0,6.897375090916951,5.697566065854496,8.813672852516172
95.0,7.014265656471252,5.471704762860348,9.720707725223738
100.0,6.8995661896467215,4.3803384011983875,9.984472474455833
