train_size,MAE_test,lower_ci_mae_test,upper_ci_mae_test
5.0,138.66398574829103,135.362211227417,152.94489036560057
10.0,136.59599670410157,133.14676822662355,139.72100414276122
15.0,131.96171284993488,124.86427542368571,135.79163833618162
20.0,124.69456104278565,115.07009555816651,132.8352508068085
25.0,113.71857391993206,105.43549310366313,121.89678502082825
30.0,106.94222405751546,98.54263926188152,115.32773934682211
35.0,100.11809019361223,81.29454593658447,118.974157169887
40.0,93.50964725017548,80.0920305967331,107.88349070549012
45.0,86.1146081076728,67.38097149531046,97.68717613220214
50.0,82.54679298400879,67.10739744186401,96.89911474227905
55.0,74.60331523201683,63.58617422797464,87.05124133716929
60.0,70.3662944316864,58.8022421836853,83.43418061733244
65.0,64.05506990139301,51.91530985098618,72.3673188502972
70.0,59.329932635171076,47.550381081444876,67.97046570777893
75.0,56.68656494140625,48.75923480987549,63.973049545288085
80.0,54.11377654075623,48.73507227301597,61.09545108675957
85.0,53.22933623370002,42.783809933942905,64.37498848298016
90.0,49.46351929770576,43.57832043435838,59.176131057739255
95.0,48.802039487738355,39.52037086486816,60.16356258392333
100.0,44.90097056388855,36.88846224308014,55.68135990619658
